Area Type,Area Name,Year,Month,Date,Series Code,Seasonally Adjusted,Current Employment,Industry Title,COUNTYFIP,County,Rural/Urban,CERF Regions,Crosswalk Value
County,Calaveras,2012,August,08/01/2012,42000000,N,930,retail trade,9,Calaveras,Rural,Eastern Sierra,13
County,Calaveras,2012,September,09/01/2012,42000000,N,910,retail trade,9,Calaveras,Rural,Eastern Sierra,13
County,Calaveras,2012,October,10/01/2012,42000000,N,930,retail trade,9,Calaveras,Rural,Eastern Sierra,13
County,Calaveras,2012,November,11/01/2012,42000000,N,920,retail trade,9,Calaveras,Rural,Eastern Sierra,13
County,Calaveras,2012,December,12/01/2012,42000000,N,920,retail trade,9,Calaveras,Rural,Eastern Sierra,13
County,Inyo,2012,January,01/01/2012,42000000,N,840,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,February,02/01/2012,42000000,N,820,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,March,03/01/2012,42000000,N,830,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,April,04/01/2012,42000000,N,860,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,May,05/01/2012,42000000,N,860,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,June,06/01/2012,42000000,N,900,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,July,07/01/2012,42000000,N,910,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,August,08/01/2012,42000000,N,910,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,September,09/01/2012,42000000,N,910,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,October,10/01/2012,42000000,N,900,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,November,11/01/2012,42000000,N,910,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Inyo,2012,December,12/01/2012,42000000,N,890,retail trade,27,Inyo,Rural,Eastern Sierra,13
County,Tuolumne,2012,January,01/01/2012,42000000,N,2140,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,February,02/01/2012,42000000,N,2100,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,March,03/01/2012,42000000,N,2080,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,April,04/01/2012,42000000,N,2110,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,May,05/01/2012,42000000,N,2130,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,June,06/01/2012,42000000,N,2160,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,July,07/01/2012,42000000,N,2180,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,August,08/01/2012,42000000,N,2160,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,September,09/01/2012,42000000,N,2130,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,October,10/01/2012,42000000,N,2130,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,November,11/01/2012,42000000,N,2170,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Tuolumne,2012,December,12/01/2012,42000000,N,2190,retail trade,109,Tuolumne,Rural,Eastern Sierra,13
County,Mariposa,2012,January,01/01/2012,42000000,N,260,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,February,02/01/2012,42000000,N,260,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,March,03/01/2012,42000000,N,260,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,April,04/01/2012,42000000,N,260,retail trade,43,Mariposa,Rural,Eastern Sierra,13
County,Mariposa,2012,May,05/01/2012,42000000,N,270,retail trade,43,Mariposa,Rural,Eastern Sierra,13
