Regions,Cost of Living
Bay Area,71472.3
Central Coast,62678.73
Central San Joaquin,48418.5
Eastern Sierra,51813.54
Inland Empire,54730.0
Kern,48990.02
Los Angeles,64366.58
North State,49758.47
Northern San Joaquin,50106.36
Orange,70047.66
Redwood Coast,50803.03
Sacramento,54491.65
San Diego-Imperial,61548.59
California,62059.36
