Regions,Cost of Living
Bay Area,76437.99
Central Coast,67033.46
Central San Joaquin,51782.48
Eastern Sierra,55413.39
Inland Empire,58532.48
Kern,52393.7
Los Angeles,68838.58
North State,53215.55
Northern San Joaquin,53587.6
Orange,74914.37
Redwood Coast,54332.68
Sacramento,58277.56
San Diego-Imperial,65824.8
California,66371.06
