Regions,Cost of Living
Bay Area,98415.99
Central Coast,79138.4
Central San Joaquin,56672.0
Eastern Sierra,61996.13
Inland Empire,63906.79
Kern,55520.34
Los Angeles,81178.59
North State,58825.54
Northern San Joaquin,58498.66
Orange,88699.78
Redwood Coast,59316.36
Sacramento,63854.16
San Diego-Imperial,78891.47
California,78485.66
