Regions,Cost of Living
Bay Area,91371.69
Central Coast,73473.93
Central San Joaquin,52615.6
Eastern Sierra,57558.65
Inland Empire,59332.56
Kern,51546.38
Los Angeles,75368.09
North State,54615.0
Northern San Joaquin,54311.52
Orange,82350.93
Redwood Coast,55070.69
Sacramento,59283.69
San Diego-Imperial,73244.67
California,72867.9
