Main_EDD,Main_Code,Sub_1,Sub_1_Code,Sub_2,Sub_2_Code,Sub_3,Sub_3_Code,Sub_4,Sub_4_Code
Manufacturing,300,Nondurable Goods,310,Apparel Manufacturing,315,Apparel Knitting Mills,315a,Apparel Knitting Mills,315a
Manufacturing,300,Nondurable Goods,310,Apparel Manufacturing,315,Cut & Sew Apparel Manufacturing,315b,Cut & Sew Apparel Manufacturing,315b
Manufacturing,300,Nondurable Goods,310,Paper Manufacturing,322,Converted Paper Product Manufacturing,322a,Converted Paper Product Manufacturing,322a
Manufacturing,300,Nondurable Goods,310,Printing & Related Support Activities,323,Printing & Related Support Activities,323,Printing & Related Support Activities,323
Manufacturing,300,Nondurable Goods,310,Petroleum & Coal Products Manufacturing,324,Petroleum & Coal Products Manufacturing,324,Petroleum & Coal Products Manufacturing,324
Manufacturing,300,Nondurable Goods,310,Chemical Manufacturing,325,Pharmaceutical & Medicine Manufacturing,325a,Pharmaceutical & Medicine Manufacturing,325a
Manufacturing,300,Nondurable Goods,310,Chemical Manufacturing,325,"Soap, Cleaning Compound & Toiletry Manufacturing",325b,"Soap, Cleaning Compound & Toiletry Manufacturing",325b
Manufacturing,300,Nondurable Goods,310,Plastics & Rubber Products Manufacturing,326,Plastics & Rubber Products Manufacturing,326,Plastics & Rubber Products Manufacturing,326
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,Motor Vehicle & Parts Merchant Wholesalers,423a,Motor Vehicle & Parts Merchant Wholesalers,423a
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,Furniture & Home Furnishing Merchant Wholesalers,423b,Furniture & Home Furnishing Merchant Wholesalers,423b
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,Lumber & Other Const Materials Merch Wholesalers,423c,Lumber & Other Const Materials Merch Wholesalers,423c
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,Prof & Commercial Equip Merchant Wholesalers,423d,Prof & Commercial Equip Merchant Wholesalers,423d
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,Electrical & Electronic Goods Merch Wholesalers,423e,Electrical & Electronic Goods Merch Wholesalers,423e
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,"Hardware, Plumb & Heating Merchant Wholesalers",423f,"Hardware, Plumb & Heating Merchant Wholesalers",423f
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Durable Goods",423,"Machinery, Equip & Supplies Merchant Wholesalers",423g,"Machinery, Equip & Supplies Merchant Wholesalers",423g
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Nondurable Goods",424,Paper & Paper Products Merchant Wholesalers,424a,Paper & Paper Products Merchant Wholesalers,424a
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Nondurable Goods",424,"Apparel, Piece Goods & Notions Merch Wholesalers",424b,"Apparel, Piece Goods & Notions Merch Wholesalers",424b
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Nondurable Goods",424,Grocery & Related Products Merchant Wholesalers,424c,Grocery & Related Products Merchant Wholesalers,424c
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Nondurable Goods",424,Chemical & Allied Products Merchant Wholesalers,424d,Chemical & Allied Products Merchant Wholesalers,424d
"Trade, Transporation and Utilities",400,Wholesale Trade,420,"Merchant Wholesalers, Nondurable Goods",424,Misc Nondurable Goods Merchant Wholesalers,424e,Misc Nondurable Goods Merchant Wholesalers,424e
"Trade, Transporation and Utilities",400,Wholesale Trade,420,Wholesalers Electronic Markets Agents & Brokers,425,Wholesalers Electronic Markets Agents & Brokers,425,Wholesalers Electronic Markets Agents & Brokers,425
"Trade, Transporation and Utilities",400,Retail Trade,440,Motor Vehicle & Parts Dealer,441,Automobile Dealers,441a,Automobile Dealers,441a
"Trade, Transporation and Utilities",400,Retail Trade,440,Motor Vehicle & Parts Dealer,441,Other Motor Vehicle Dealers,441b,Other Motor Vehicle Dealers,441b
"Trade, Transporation and Utilities",400,Retail Trade,440,Motor Vehicle & Parts Dealer,441,"Auto Parts, Accessories & Tire Stores",441c,"Auto Parts, Accessories & Tire Stores",441c
"Trade, Transporation and Utilities",400,Retail Trade,440,Furniture & Home Furnishings Stores,442,Furniture Stores,442a,Furniture Stores,442a
"Trade, Transporation and Utilities",400,Retail Trade,440,Furniture & Home Furnishings Stores,442,Home Furnishings Stores,442b,Home Furnishings Stores,442b
"Trade, Transporation and Utilities",400,Retail Trade,440,Electronics & Appliance Stores,443,Electronics & Appliance Stores,443,Electronics & Appliance Stores,443
"Trade, Transporation and Utilities",400,Retail Trade,440,Building Material & Garden Equip Stores,444,Building Material & Supplies Dealers,444a,Building Material & Supplies Dealers,444a
"Trade, Transporation and Utilities",400,Retail Trade,440,Food & Beverage Stores,445,Grocery Stores,445a,Grocery Stores,445a
"Trade, Transporation and Utilities",400,Retail Trade,440,Food & Beverage Stores,445,Specialty Food Stores,445b,Specialty Food Stores,445b
"Trade, Transporation and Utilities",400,Retail Trade,440,Food & Beverage Stores,445,"Beer, Wine & Liquor Stores",445c,"Beer, Wine & Liquor Stores",445c
"Trade, Transporation and Utilities",400,Retail Trade,440,Health & Personal Care Stores,446,Health & Personal Care Stores,446,Health & Personal Care Stores,446
"Trade, Transporation and Utilities",400,Retail Trade,440,Gasoline Stations,447,Gasoline Stations,447,Gasoline Stations,447
"Trade, Transporation and Utilities",400,Retail Trade,440,Clothing & Clothing Accessories Stores,448,Clothing Stores,448a,Clothing Stores,448a
"Trade, Transporation and Utilities",400,Retail Trade,440,Clothing & Clothing Accessories Stores,448,"Jewelry, Luggage & Leather Goods Stores",448b,"Jewelry, Luggage & Leather Goods Stores",448b
"Trade, Transporation and Utilities",400,Retail Trade,440,"Sporting Goods, Hobby, Book & Music Stores",451,"Sporting Goods, Hobby & Musical Instrument Store",451a,"Sporting Goods, Hobby & Musical Instrument Store",451a
"Trade, Transporation and Utilities",400,Retail Trade,440,"Sporting Goods, Hobby, Book & Music Stores",451,"Book, Periodical & Music Stores",451b,"Book, Periodical & Music Stores",451b
"Trade, Transporation and Utilities",400,Retail Trade,440,General Merchandise Stores,452,Department Stores,452a,Department Stores,452a
"Trade, Transporation and Utilities",400,Retail Trade,440,General Merchandise Stores,452,General Merchandise Stores,452b,General Merchandise Stores,452b
"Trade, Transporation and Utilities",400,Retail Trade,440,Miscellaneous Store Retailers,453,"Office Supplies, Stationery & Gift Stores",453a,"Office Supplies, Stationery & Gift Stores",453a
"Trade, Transporation and Utilities",400,Retail Trade,440,Miscellaneous Store Retailers,453,Used Merchandise Stores,453b,Used Merchandise Stores,453b
"Trade, Transporation and Utilities",400,Retail Trade,440,Miscellaneous Store Retailers,453,Other Miscellaneous Store Retailers,453c,Other Miscellaneous Store Retailers,453c
"Trade, Transporation and Utilities",400,Retail Trade,440,Nonstore Retailers,454,Electronic Shopping & Mail-Order,454a,Electronic Shopping & Mail-Order,454a
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Utilities,431,"Electric Power Generation, Trans & Distribution",431a,"Electric Power Generation, Trans & Distribution",431a
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Utilities,431,Natural Gas Distribution,431b,Natural Gas Distribution,431b
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Air Transportation,481,Scheduled Air Transportation,481a
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Truck Transportation,482,General Freight Trucking,482a
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Truck Transportation,482,Specialized Freight Trucking,482b
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Transit & Ground Passenger Transportation,483,Transit & Ground Passenger Transportation,483
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Support Activities for Transportation,484,Support Activities for Water Transportation,484a
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Support Activities for Transportation,484,Support Activities for Road Transportation,484b
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Support Activities for Transportation,484,Freight Transportation Arrangement,484c
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Couriers & Messengers,485,Couriers & Messengers,485
"Trade, Transporation and Utilities",400,"Transportation, Warehousing & Utilities",430,Transportation & Warehousing,480,Warehousing & Storage,486,Warehousing & Storage,486
Information,500,Publishing Industries (except Internet),511,"Newspaper, Periodical, Book & Directory Publishers",511a,"Newspaper, Periodical, Book & Directory Publishers",511a,"Newspaper, Periodical, Book & Directory Publishers",511a
Information,500,Publishing Industries (except Internet),511,Software Publishers,511b,Software Publishers,511b,Software Publishers,511b
Information,500,Motion Picture & Sound Recording Industries,512,Motion Picture & Video Industries,512a,Motion Picture & Video Industries,512a,Motion Picture & Video Industries,512a
Information,500,Motion Picture & Sound Recording Industries,512,Motion Picture & Video Production,512b,Motion Picture & Video Production,512b,Motion Picture & Video Production,512b
Information,500,Broadcasting (except Internet),515,Radio & Television Broadcasting,515a,Radio & Television Broadcasting,515a,Radio & Television Broadcasting,515a
Information,500,Broadcasting (except Internet),515,Cable & Other Subscription Programming,515b,Cable & Other Subscription Programming,515b,Cable & Other Subscription Programming,515b
Information,500,Telecommunications,517,Wired Telecommunications Carriers,517a,Wired Telecommunications Carriers,517a,Wired Telecommunications Carriers,517a
Information,500,"Data Processing, Hosting & Related Services",518,"Data Processing, Hosting & Related Services",518,"Data Processing, Hosting & Related Services",518,"Data Processing, Hosting & Related Services",518
Information,500,Other Information Services,519,Other Information Services,519,Other Information Services,519,Other Information Services,519
Financial Activities,520,Finance & Insurance,521,Credit Intermediation & Related Activities,522,Depository Credit Intermediation,522a,Depository Credit Intermediation,522a
Financial Activities,520,Finance & Insurance,521,Credit Intermediation & Related Activities,522,Nondepository Credit Intermediation,522b,Nondepository Credit Intermediation,522b
Financial Activities,520,Finance & Insurance,521,Credit Intermediation & Related Activities,522,Activities Related to Credit Intermediation,522c,Activities Related to Credit Intermediation,522c
Financial Activities,520,Finance & Insurance,521,"Securities, Commodity Contracts & Investments",523,Securities & Commodity Contracts,523a,Securities & Commodity Contracts,523a
Financial Activities,520,Finance & Insurance,521,"Securities, Commodity Contracts & Investments",523,Other Financial Investment Activities,523b,Other Financial Investment Activities,523b
Financial Activities,520,Finance & Insurance,521,Insurance Carriers & Related Activities,524,Insurance Carriers,524a,Insurance Carriers,524a
Financial Activities,520,Finance & Insurance,521,Insurance Carriers & Related Activities,524,"Agencies, Broker & Other Insurance Related Act",524b,"Agencies, Broker & Other Insurance Related Act",524b
Financial Activities,520,Real Estate & Rental & Leasing,530,Real Estate,531,Lessors of Real Estate,531a,Lessors of Real Estate,531a
Financial Activities,520,Real Estate & Rental & Leasing,530,Real Estate,531,Offices of Real Estate Agents & Brokers,531b,Offices of Real Estate Agents & Brokers,531b
Financial Activities,520,Real Estate & Rental & Leasing,530,Real Estate,531,Activities Related to Real Estate,531c,Activities Related to Real Estate,531c
Financial Activities,520,Real Estate & Rental & Leasing,530,Rental & Leasing Services,532,Auto Equipment Rental & Leasing,532a,Auto Equipment Rental & Leasing,532a
Financial Activities,520,Real Estate & Rental & Leasing,530,Rental & Leasing Services,532,Consumer Goods Rental,532b,Consumer Goods Rental,532b
Financial Activities,520,Real Estate & Rental & Leasing,530,Rental & Leasing Services,532,General Rental Centers,532c,General Rental Centers,532c
Financial Activities,520,Real Estate & Rental & Leasing,530,Rental & Leasing Services,532,Commercial & Industrial Mach Rental & Leasing,532d,Commercial & Industrial Mach Rental & Leasing,532d
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,Legal Services,541a,Legal Services,541a,Legal Services,541a
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,"Accounting, Tax Preparation & Bookkeeping Services",541b,"Accounting, Tax Preparation & Bookkeeping Services",541b,"Accounting, Tax Preparation & Bookkeeping Services",541b
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,"Architectural, Engineering & Related Services",541c,"Architectural, Engineering & Related Services",541c,"Architectural, Engineering & Related Services",541c
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,Specialized Design Services,541d,Specialized Design Services,541d,Specialized Design Services,541d
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,Computer Systems Design & Related Services,541e,Computer Systems Design & Related Services,541e,Computer Systems Design & Related Services,541e
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,"Mgmt, Scientific & Technical Consulting Services",541f,"Mgmt, Scientific & Technical Consulting Services",541f,"Mgmt, Scientific & Technical Consulting Services",541f
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,Scientific Research & Development Services,541g,Scientific Research & Development Services,541g,Scientific Research & Development Services,541g
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,Advertising & Related Services,541h,Advertising & Related Services,541h,Advertising & Related Services,541h
Professional & Business Services,540,"Professional, Scientific & Technical Services",541,"Other Prof., Scientific & Technical Services",541i,"Other Prof., Scientific & Technical Services",541i,"Other Prof., Scientific & Technical Services",541i
Professional & Business Services,540,Management of Companies & Enterprises,550,Management of Companies & Enterprises,550,Management of Companies & Enterprises,550,Management of Companies & Enterprises,550
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Office Administrative Services,561a,Office Administrative Services,561a
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Facilities Support Services,561b,Facilities Support Services,561b
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Employment Services,561c,Employment Services,561c
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Business Support Services,561d,Business Support Services,561d
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Travel Arrangement & Reservation Services,561e,Travel Arrangement & Reservation Services,561e
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Investigation & Security Services,561f,Investigation & Security Services,561f
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Services to Buildings & Dwellings,561g,Services to Buildings & Dwellings,561g
Professional & Business Services,540,Administrative & Support & Waste Services,560,Administrative & Support Services,561,Other Support Services,561h,Other Support Services,561h
Professional & Business Services,540,Administrative & Support & Waste Services,560,Waste Management & Remediation Services,562,Waste Management & Remediation Services,562,Waste Management & Remediation Services,562
Educational & Health Services,600,Educational Services,610,Elementary & Secondary Schools,611,Elementary & Secondary Schools,611,Elementary & Secondary Schools,611
Educational & Health Services,600,Educational Services,610,Junior Colleges,612,Junior Colleges,612,Junior Colleges,612
Educational & Health Services,600,Educational Services,610,"Colleges, Universities & Professional Schools",613,"Colleges, Universities & Professional Schools",613,"Colleges, Universities & Professional Schools",613
Educational & Health Services,600,Educational Services,610,Other Schools & Instruction,614,Other Schools & Instruction,614,Other Schools & Instruction,614
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Offices of Physicians,621a,Offices of Physicians,621a
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Offices of Dentists,621b,Offices of Dentists,621b
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Offices of Other Health Practitioners,621c,Offices of Other Health Practitioners,621c
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Outpatient Care Centers,621d,Outpatient Care Centers,621d
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Medical & Diagnostic Laboratories,621e,Medical & Diagnostic Laboratories,621e
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Home Health Care Services,621f,Home Health Care Services,621f
Educational & Health Services,600,Health Care & Social Assistance,620,Ambulatory Health Care Services,621,Other Ambulatory Health Care Services,621g,Other Ambulatory Health Care Services,621g
Educational & Health Services,600,Health Care & Social Assistance,620,Hospitals,622,General Medical & Surgical Hospitals,622a,General Medical & Surgical Hospitals,622a
Educational & Health Services,600,Health Care & Social Assistance,620,Hospitals,622,Psychiatric & Substance Abuse Hospitals,622b,Psychiatric & Substance Abuse Hospitals,622b
Educational & Health Services,600,Health Care & Social Assistance,620,Hospitals,622,"Specialty (not Psych, Sub Abuse) Hospitals",622c,"Specialty (not Psych, Sub Abuse) Hospitals",622c
Educational & Health Services,600,Health Care & Social Assistance,620,Nursing & Residential Care Facilities,623,Nursing Care Facilities,623a,Nursing Care Facilities,623a
Educational & Health Services,600,Health Care & Social Assistance,620,Nursing & Residential Care Facilities,623,Resident Mental Retardation & Substance Abuse,623b,Resident Mental Retardation & Substance Abuse,623b
Educational & Health Services,600,Health Care & Social Assistance,620,Nursing & Residential Care Facilities,623,Community Care Facilities for the Elderly,623c,Community Care Facilities for the Elderly,623c
Educational & Health Services,600,Health Care & Social Assistance,620,Nursing & Residential Care Facilities,623,Other Residential Care Facilities,623d,Other Residential Care Facilities,623d
Educational & Health Services,600,Health Care & Social Assistance,620,Social Assistance,624,Individual & Family Services,624a,Individual & Family Services,624a
Educational & Health Services,600,Health Care & Social Assistance,620,Social Assistance,624,Community Emergency & Other Relief Services,624b,Community Emergency & Other Relief Services,624b
Educational & Health Services,600,Health Care & Social Assistance,620,Social Assistance,624,Vocational Rehabilitation Services,624c,Vocational Rehabilitation Services,624c
Educational & Health Services,600,Health Care & Social Assistance,620,Social Assistance,624,Child Day Care Services,624d,Child Day Care Services,624d
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Performing Arts, Spectator Sports",711,Performing Arts Companies,711a,Performing Arts Companies,711a
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Performing Arts, Spectator Sports",711,Spectator Sports,711b,Spectator Sports,711b
Leisure & Hospitality,700,"Arts, Entertainment & Recreation",710,"Performing Arts, Spectator Sports",711,"Independent Artists, Writers & Performers",711c,"Independent Artists, Writers & Performers",711c
