Industry Title,unweighted_ind_counts,wt_ind_counts,wt_CA_high_wage_count,wt_CA_high_wage_perc
Car washes,278,35983.0,2761.0,7.673067837589972
Beauty salons,1417,151891.0,10413.0,6.8555740629793736
Barber shops,120,14640.0,966.0,6.598360655737705
Nail salons and other personal care services,839,88449.0,5558.0,6.283847188775453
Used merchandise stores,405,42093.0,2525.0,5.998622098686242
Florists,172,18010.0,921.0,5.113825652415325
Book stores and news dealers,162,15111.0,697.0,4.612533915690556
"Sewing, needlework and piece goods stores",83,8011.0,316.0,3.9445762077143924
Private households,1529,180264.0,6958.0,3.8598943771357566
"Unemployed, with no work experience in past 5 years",2013,240244.0,0.0,0.0
