Industry Title,LMID Industry Title,Parsed_Code,Area Type,Area Name,Date,Seasonally Adjusted,Current Employment,Main_EDD,Main_Code,Sub_1,Sub_1_Code,Sub_2,Sub_2_Code,Sub_3,Sub_3_Code,Sub_4,Sub_4_Code
city,city,939,County,Los Angeles County,04/01/2017,N,91200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,01/01/2017,N,5400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,01/01/2017,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,01/01/2017,N,90700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,01/01/2017,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,01/01/2017,N,1600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,01/01/2017,N,2200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,01/01/2017,N,800,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,01/01/2017,N,15400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,01/01/2017,N,18500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,01/01/2017,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,01/01/2017,N,3200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,01/01/2017,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,01/01/2017,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,01/01/2017,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,01/01/2017,N,4000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,05/01/2017,N,5500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,01/01/2017,N,263700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,02/01/2017,N,5400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,02/01/2017,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,02/01/2017,N,90600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Madera County,02/01/2017,N,400,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Marin County,02/01/2017,N,1500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Monterey County,02/01/2017,N,2200,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Napa County,02/01/2017,N,900,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Orange County,02/01/2017,N,15500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Diego County,02/01/2017,N,18600,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,San Joaquin County,02/01/2017,N,3300,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Santa Barbara County,02/01/2017,N,3100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Solano County,02/01/2017,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Sonoma County,02/01/2017,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Stanislaus County,02/01/2017,N,2500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Ventura County,02/01/2017,N,4000,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,State,California,02/01/2017,N,263700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Fresno County,03/01/2017,N,5500,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Kern County,03/01/2017,N,2700,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
city,city,939,County,Los Angeles County,03/01/2017,N,91100,government,900,state and local government,940,local government,930,local government excluding education,932,city,939
