Industry Title,INDNAICS,Main_Code,Sub_1_Code,Sub_2_Code,Sub_3_Code,Sub_4_Code
"Machinery, equipment, and supplies merchant wholesalers",4238,400,420,423,423g,423g
Lumber and other construction materials merchant wholesalers,4233,400,420,423,423c,423c
Recyclable material merchant wholesalers,42393,400,420,424,424a,424a
Furniture and home furnishing merchant wholesalers   ,4232,400,420,423,423b,423b
"Metals and minerals, except petroleum, merchant wholesalers",4235,400,420,423,423c,423c
Grocery and related product merchant wholesalers ,4244,400,420,424,424c,424c
Miscellaneous nondurable goods merchant wholesalers,4249z,400,420,424,424e,424e
"Drugs, sundries, and chemical and allied product merchant wholesalers",424m,400,420,424,424d,424d
"Apparel, piece goods, and notions merchant wholesalers",4243,400,420,424,424b,424b
Alcoholic beverages merchat wholesalers,4248,400,420,424,424c,424c
Paper and paper products mechant wholesalers,4241,400,420,424,424a,424a
Petroleum and petroleum products merchant wholesalers ,4247,400,420,424,424d,424d
Farm supplies merchant wholesalers,42491,400,420,424,424,424
"Farm product raw materials, merchant wholesalers ",4245,400,420,424,424,424
"Wholesale electronic markets, agents and brokers",4251,400,420,425,425,425
"Automotive parts, accessories, and tire stores",4413,400,440,441,441c,441c
Other motor vehicle dealers,4412,400,440,441,441b,441b
Automobile dealers,4411,400,440,441,441a,441a
Furniture and home furnishings stores,442,400,440,442,442,442
Electronics stores,443142,400,440,443,443,443
Household appliance stores,443141,400,440,443,443,443
Building material and supplies dealers,4441z,400,440,444,444a,444a
Hardware stores,44413,400,440,444,444,444
Lawn and garden equipment and supplies stores,4442,400,440,444,444,444
Convenience Stores,44512,400,440,445,445a,445a
Supermarkets And Grocery (Except Convenience) Stores,44511,400,440,445,445a,445a
"Beer, wine, and liquor stores",4453,400,440,445,445c,445c
Specialty food stores,4452,400,440,445,445b,445b
Pharmacies and drug stores,44611,400,440,446,446,446
"Health and personal care, except drug, stores",446z,400,440,446,446,446
Gasoline stations,447,400,440,447,447,447
Clothing stores,4481,400,440,448,448a,448a
Shoe stores,44821,400,440,448,448a,448a
"Jewelry, luggage,and leather goods stores",4483,400,440,448,448b,448b
"Sporting goods, and hobby and toy stores",4511m,400,440,451,451a,451a
Book stores and news dealers,45121,400,440,451,451b,451b
"Sewing, needlework and piece goods stores",45113,400,440,451,451a,451a
Musical instrument and supplies stores,45114,400,440,451,451a,451a
Department stores,45221,400,440,452,452a,452a
"General merchandise stores, including warehouse clubs and supercenters ",4523,400,440,452,452b,452b
Used merchandise stores,4533,400,440,452,453b,453b
Florists,4531,400,440,453,453,453
Miscellaneous retail stores,4539,400,440,453,453c,453c
Office supplies and stationary stores,45321,400,440,453,453a,453a
"Gift, novelty, and souvenir shops",45322,400,440,453,453a,453a
Electronic shopping and mail-order houses,454110,400,440,454,454a,454a
Other direct selling establishments,45439,400,440,454,454,454
Vending machine operators,4542,400,440,454,454,454
Fuel dealers,454310,400,440,454,454,454
Air transportation,481,400,430,480,481,481
Truck transportation,484,400,430,480,482,482
Taxi and limousine service,4853,400,430,480,483,483
Bus service and urban transit,485m,400,430,480,483,483
Services incidental to transportation,488,400,430,480,484,484
Couriers and messengers,492,400,430,480,485,485
Warehousing and storage,493,400,430,480,486,486
Newspaper publishers,51111,500,511,511a,511a,511a
"Periodical, book, and directory publishers",5111z,500,511,511a,511a,511a
Software publishers,5112,500,511,511b,511b,511b
Sound recording industries,5122,500,512,512,512,512
